CODE;DESCRIP;SUPNO;DEPT;TAXIND;CPRICE;AVECOST;SPRICE;SPRICE1;SPRICE2;MUP;MUP1;MUP2;REORD;QOH;QSOLDM;QSOLDY;VSOLDM;VSOLDY;GPM;GPY;QTYBYSTOCK;SCOUNTFLAG;CLOSTOCK;DATELSOLD;DATELPURCH;LASTSUP;SPECSTDATE;SPECENDATE;SPPRICE1;SPPRICE2;SPPRICE3;BFWDQTY;BFWDVAL;QTYSORD;QTYPORD;QTYPURCHM;QTYPURCHY;NEWPR;NEWPR1;NEWPR2;NEWPRDATE;SELLQTY;SUPCODE;MAXDISC;WEIGHT;ALLOWNEGSL;BIN;JCBFWDVAL;LBBFWDVAL;RFBFWDVAL;PACK;KVI
559040;285/70 19.5 G/Y MARA LHT 150J);17;23;1;0.0;0.0;8165.0;8165.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;559040;0.0;0.0;Y;0;0.0;0.0;0.0;;
555107;285/75 16 G/Y WRL MT/R;17;28;1;0.0;0.0;6315.0;6315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;555107;0.0;0.0;Y;0;0.0;0.0;0.0;;
559340;295/80 22.5 G/Y OMNITR;17;25;1;0.0;0.0;10435.0;10435.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;559340;0.0;0.0;Y;0;0.0;0.0;0.0;;
556675;295/80 22.5 G/Y REG RH;17;25;1;0.0;0.0;7085.0;7085.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;556675;0.0;0.0;Y;0;0.0;0.0;0.0;;
555460;295/80 22.5 G/Y MARATHON;17;25;1;0.0;0.0;12860.0;12860.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;555460;0.0;0.0;Y;0;0.0;0.0;0.0;;
556173;305/70 1 G/Y 6 WRL MT/R 118/ R;17;28;1;0.0;0.0;5885.0;5885.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;556173;0.0;0.0;Y;0;0.0;0.0;0.0;;
557240;37X12.50R1 G/Y 5LT WRL MT/R 11;17;28;1;0.0;0.0;6585.0;6585.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;557240;0.0;0.0;Y;0;0.0;0.0;0.0;;
555405;650    16 G/Y CARGO G26 108;17;23;1;0.0;0.0;2465.0;2465.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;555405;0.0;0.0;Y;0;0.0;0.0;0.0;;
550656;700 16 G/Y G22 117L);17;23;1;4688.59;1160.0;2230.0;2230.0;0.0;-52.44;-52.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2010/03/04;2010/02/23;17;1960/01/01;1960/01/01;2230.0;2230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;77158;0.0;0.0;Y;0;0.0;0.0;0.0;;
559201;750 15 G/Y REG RHT;17;25;1;0.0;0.0;6200.0;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;559201;0.0;0.0;Y;0;0.0;0.0;0.0;;
